country,iso3c,deaths,days_since_tenth_death,deaths_per_million_smoothed,total_deaths_per_million,deaths_per_million_smoothed_yesterday
Iran,IRN,122,29,1.7023944285390384,69.80417142638004,0.9063047560188959
Iran,IRN,143,30,1.707571282619681,69.80417142638004,0.9063047560188959
Iran,IRN,157,31,1.7092114771557307,69.80417142638004,0.9063047560188959
Iran,IRN,144,32,1.7073232871937085,69.80417142638004,0.9063047560188959
Iran,IRN,139,33,1.703087086196534,69.80417142638004,0.9063047560188959
Iran,IRN,123,34,1.6979240508954603,69.80417142638004,0.9063047560188959
Iran,IRN,117,35,1.6929039275568691,69.80417142638004,0.9063047560188959
Iran,IRN,141,36,1.6885956284503456,69.80417142638004,0.9063047560188959
Iran,IRN,138,37,1.6840170392639415,69.80417142638004,0.9063047560188959
Iran,IRN,124,38,1.6781765850682964,69.80417142638004,0.9063047560188959
Iran,IRN,134,39,1.6699506773336212,69.80417142638004,0.9063047560188959
Iran,IRN,158,40,1.6574546840888742,69.80417142638004,0.9063047560188959
Iran,IRN,151,41,1.6392531877162833,69.80417142638004,0.9063047560188959
Iran,IRN,136,42,1.6144594220991655,69.80417142638004,0.9063047560188959
Iran,IRN,133,43,1.5836991202306874,69.80417142638004,0.9063047560188959
Iran,IRN,121,44,1.5480278846221505,69.80417142638004,0.9063047560188959
Iran,IRN,117,45,1.508593996578284,69.80417142638004,0.9063047560188959
Iran,IRN,122,46,1.466140281467512,69.80417142638004,0.9063047560188959
Iran,IRN,125,47,1.4212501850637886,69.80417142638004,0.9063047560188959
Iran,IRN,117,48,1.3744880237138821,69.80417142638004,0.9063047560188959
Iran,IRN,111,49,1.3270177874342077,69.80417142638004,0.9063047560188959
Iran,IRN,98,50,1.280247699649749,69.80417142638004,0.9063047560188959
Iran,IRN,94,51,1.2357719714384363,69.80417142638004,0.9063047560188959
Iran,IRN,92,52,1.1946830874672663,69.80417142638004,0.9063047560188959
Iran,IRN,89,53,1.1577749896745206,69.80417142638004,0.9063047560188959
Iran,IRN,73,54,1.125232220629388,69.80417142638004,0.9063047560188959
Iran,IRN,87,55,1.0968099325897605,69.80417142638004,0.9063047560188959
Iran,IRN,91,56,1.0711684074362762,69.80417142638004,0.9063047560188959
Iran,IRN,88,57,1.04674405257589,69.80417142638004,0.9063047560188959
Iran,IRN,94,58,1.0220152868507937,69.80417142638004,0.9063047560188959
Iran,IRN,90,59,0.9957678073131027,69.80417142638004,0.9063047560188959
Iran,IRN,93,60,0.9675856248085618,69.80417142638004,0.9063047560188959
Iran,IRN,76,61,0.9374678946321938,69.80417142638004,0.9063047560188959
Iran,IRN,60,62,0.9063047560188959,69.80417142638004,0.9063047560188959
Canada,CAN,3,0,0.04772660443957543,71.80681295809393,4.208464040760086
Canada,CAN,7,1,0.058598593390181364,71.80681295809393,4.208464040760086
Canada,CAN,2,2,0.07241526712375156,71.80681295809393,4.208464040760086
Canada,CAN,4,3,0.09028752042461242,71.80681295809393,4.208464040760086
Canada,CAN,1,4,0.11362679296205451,71.80681295809393,4.208464040760086
Canada,CAN,4,5,0.14367870397409305,71.80681295809393,4.208464040760086
Canada,CAN,8,6,0.18145883087503467,71.80681295809393,4.208464040760086
Canada,CAN,16,7,0.22757363548090306,71.80681295809393,4.208464040760086
Canada,CAN,7,8,0.28347991796017225,71.80681295809393,4.208464040760086
Canada,CAN,3,9,0.35074554354222115,71.80681295809393,4.208464040760086
Canada,CAN,16,10,0.4303665126312306,71.80681295809393,4.208464040760086
Canada,CAN,21,11,0.5230664520212445,71.80681295809393,4.208464040760086
Canada,CAN,8,12,0.6288783062676481,71.80681295809393,4.208464040760086
Canada,CAN,30,13,0.7470134020287165,71.80681295809393,4.208464040760086
Canada,CAN,40,14,0.8763148364909361,71.80681295809393,4.208464040760086
Canada,CAN,39,15,1.01503654681011,71.80681295809393,4.208464040760086
Canada,CAN,41,16,1.1620034827462866,71.80681295809393,4.208464040760086
Canada,CAN,80,17,1.3166741645044633,71.80681295809393,4.208464040760086
Canada,CAN,36,18,1.480275204616752,71.80681295809393,4.208464040760086
Canada,CAN,32,19,1.654444660891487,71.80681295809393,4.208464040760086
Canada,CAN,96,20,1.8402049312316975,71.80681295809393,4.208464040760086
Canada,CAN,54,21,2.0365744410024957,71.80681295809393,4.208464040760086
Canada,CAN,97,22,2.242288847966113,71.80681295809393,4.208464040760086
Canada,CAN,60,23,2.4564961342739005,71.80681295809393,4.208464040760086
Canada,CAN,65,24,2.6768348634304533,71.80681295809393,4.208464040760086
Canada,CAN,120,25,2.89906536935307,71.80681295809393,4.208464040760086
Canada,CAN,107,26,3.113627958406627,71.80681295809393,4.208464040760086
Canada,CAN,251,27,3.311406271579738,71.80681295809393,4.208464040760086
Canada,CAN,97,28,3.4865133047301677,71.80681295809393,4.208464040760086
Canada,CAN,45,29,3.64408790891302,71.80681295809393,4.208464040760086
Canada,CAN,164,30,3.7889288133213,71.80681295809393,4.208464040760086
Canada,CAN,162,31,3.914616377912537,71.80681295809393,4.208464040760086
Canada,CAN,183,32,4.016306270624054,71.80681295809393,4.208464040760086
Canada,CAN,167,33,4.091438262936628,71.80681295809393,4.208464040760086
Canada,CAN,165,34,4.142428890490835,71.80681295809393,4.208464040760086
Canada,CAN,144,35,4.174859793569313,71.80681295809393,4.208464040760086
Canada,CAN,163,36,4.194830615934616,71.80681295809393,4.208464040760086
Canada,CAN,114,37,4.208464040760086,71.80681295809393,4.208464040760086
Germany,DEU,2,0,0.026049904499700217,72.08182416034626,1.8859083913509425
Germany,DEU,6,1,0.04643226029866744,72.08182416034626,1.8859083913509425
Germany,DEU,7,2,0.07361349547413518,72.08182416034626,1.8859083913509425
Germany,DEU,4,3,0.10879209672123578,72.08182416034626,1.8859083913509425
Germany,DEU,16,4,0.15312838704499251,72.08182416034626,1.8859083913509425
Germany,DEU,23,5,0.20777993542412762,72.08182416034626,1.8859083913509425
Germany,DEU,17,6,0.27396394812575553,72.08182416034626,1.8859083913509425
Germany,DEU,10,7,0.35303437712714064,72.08182416034626,1.8859083913509425
Germany,DEU,29,8,0.44613536425021355,72.08182416034626,1.8859083913509425
Germany,DEU,34,9,0.5532634518629697,72.08182416034626,1.8859083913509425
Germany,DEU,49,10,0.6734592823999297,72.08182416034626,1.8859083913509425
Germany,DEU,61,11,0.8054106156293558,72.08182416034626,1.8859083913509425
Germany,DEU,75,12,0.9470490225151281,72.08182416034626,1.8859083913509425
Germany,DEU,91,13,1.0958985585175784,72.08182416034626,1.8859083913509425
Germany,DEU,100,14,1.2493756745468687,72.08182416034626,1.8859083913509425
Germany,DEU,112,15,1.4046994361684357,72.08182416034626,1.8859083913509425
Germany,DEU,130,16,1.5589581753038102,72.08182416034626,1.8859083913509425
Germany,DEU,145,17,1.7089498743017264,72.08182416034626,1.8859083913509425
Germany,DEU,187,18,1.8515319268355337,72.08182416034626,1.8859083913509425
Germany,DEU,168,19,1.9840665837905653,72.08182416034626,1.8859083913509425
Germany,DEU,169,20,2.105703459207432,72.08182416034626,1.8859083913509425
Germany,DEU,140,21,2.2156967564392627,72.08182416034626,1.8859083913509425
Germany,DEU,226,22,2.312908710724266,72.08182416034626,1.8859083913509425
Germany,DEU,206,23,2.394998753082363,72.08182416034626,1.8859083913509425
Germany,DEU,333,24,2.4595683369978394,72.08182416034626,1.8859083913509425
Germany,DEU,258,25,2.5070623560758607,72.08182416034626,1.8859083913509425
Germany,DEU,160,26,2.5456586116210635,72.08182416034626,1.8859083913509425
Germany,DEU,-31,27,2.5849961576957914,72.08182416034626,1.8859083913509425
Germany,DEU,286,28,2.630745119977005,72.08182416034626,1.8859083913509425
Germany,DEU,172,29,2.678869309911573,72.08182416034626,1.8859083913509425
Germany,DEU,100,30,2.722192277824281,72.08182416034626,1.8859083913509425
Germany,DEU,510,31,2.750997825152844,72.08182416034626,1.8859083913509425
Germany,DEU,248,32,2.7576583460829305,72.08182416034626,1.8859083913509425
Germany,DEU,300,33,2.7379288934222727,72.08182416034626,1.8859083913509425
Germany,DEU,107,34,2.698190055832501,72.08182416034626,1.8859083913509425
Germany,DEU,127,35,2.6460235995962855,72.08182416034626,1.8859083913509425
Germany,DEU,276,36,2.582687025234706,72.08182416034626,1.8859083913509425
Germany,DEU,171,37,2.505968865359097,72.08182416034626,1.8859083913509425
Germany,DEU,246,38,2.4128876970397357,72.08182416034626,1.8859083913509425
Germany,DEU,296,39,2.3007774320488354,72.08182416034626,1.8859083913509425
Germany,DEU,185,40,2.172231048204899,72.08182416034626,1.8859083913509425
