country,iso3c,deaths,days_since_tenth_death_m50,deaths_per_million_smoothed,total_deaths_per_million,deaths_per_million_smoothed_yesterday
France,FRA,437,1,5.395606881007946,409.5130594398471,3.199280789571601
France,FRA,367,2,5.030443390506366,409.5130594398471,3.199280789571601
France,FRA,427,3,4.6941807881945445,409.5130594398471,3.199280789571601
France,FRA,289,4,4.388110911094299,409.5130594398471,3.199280789571601
France,FRA,218,5,4.114993523940207,409.5130594398471,3.199280789571601
France,FRA,166,6,3.878430566519083,409.5130594398471,3.199280789571601
France,FRA,137,7,3.6807659480185033,409.5130594398471,3.199280789571601
France,FRA,304,8,3.5181081741527374,409.5130594398471,3.199280789571601
France,FRA,333,9,3.3836527521772948,409.5130594398471,3.199280789571601
France,FRA,275,10,3.271704145869201,409.5130594398471,3.199280789571601
France,FRA,178,11,3.1824470691880142,409.5130594398471,3.199280789571601
France,FRA,243,12,3.1178610435636545,409.5130594398471,3.199280789571601
France,FRA,80,13,3.080460757662576,409.5130594398471,3.199280789571601
France,FRA,70,14,3.070030395226387,409.5130594398471,3.199280789571601
France,FRA,263,15,3.084213753858348,409.5130594398471,3.199280789571601
France,FRA,348,16,3.1151483364578842,409.5130594398471,3.199280789571601
France,FRA,83,17,3.154715809638218,409.5130594398471,3.199280789571601
France,FRA,351,18,3.199280789571601,409.5130594398471,3.199280789571601
United Kingdom,GBR,622,0,8.9019116414374,506.96397238028135,6.074990686177745
United Kingdom,GBR,315,1,8.576321240752433,506.96397238028135,6.074990686177745
United Kingdom,GBR,289,2,8.275636479275091,506.96397238028135,6.074990686177745
United Kingdom,GBR,692,3,7.995770072796414,506.96397238028135,6.074990686177745
United Kingdom,GBR,649,4,7.729097004393567,506.96397238028135,6.074990686177745
United Kingdom,GBR,539,5,7.47110775139927,506.96397238028135,6.074990686177745
United Kingdom,GBR,627,6,7.219831253632955,506.96397238028135,6.074990686177745
United Kingdom,GBR,346,7,6.980721248836541,506.96397238028135,6.074990686177745
United Kingdom,GBR,268,8,6.762536832599244,506.96397238028135,6.074990686177745
United Kingdom,GBR,211,9,6.571068087847036,506.96397238028135,6.074990686177745
United Kingdom,GBR,628,10,6.398683277928507,506.96397238028135,6.074990686177745
United Kingdom,GBR,495,11,6.235366960018934,506.96397238028135,6.074990686177745
United Kingdom,GBR,429,12,6.074990686177745,506.96397238028135,6.074990686177745
Italy,ITA,578,0,8.819720889530851,519.1507165630395,3.1130783126095376
Italy,ITA,525,1,8.62075612169414,519.1507165630395,3.1130783126095376
Italy,ITA,575,2,8.413271519225933,519.1507165630395,3.1130783126095376
Italy,ITA,482,3,8.197170626514602,519.1507165630395,3.1130783126095376
Italy,ITA,433,4,7.9730011940204495,519.1507165630395,3.1130783126095376
Italy,ITA,454,5,7.741135985077043,519.1507165630395,3.1130783126095376
Italy,ITA,534,6,7.501324005521673,519.1507165630395,3.1130783126095376
Italy,ITA,437,7,7.251906662468982,519.1507165630395,3.1130783126095376
Italy,ITA,464,8,6.994295128861648,519.1507165630395,3.1130783126095376
Italy,ITA,420,9,6.7312478788505565,519.1507165630395,3.1130783126095376
Italy,ITA,415,10,6.467262814876734,519.1507165630395,3.1130783126095376
Italy,ITA,260,11,6.207681905039361,519.1507165630395,3.1130783126095376
Italy,ITA,333,12,5.958141418063835,519.1507165630395,3.1130783126095376
Italy,ITA,382,13,5.71931669639638,519.1507165630395,3.1130783126095376
Italy,ITA,323,14,5.490749436749435,519.1507165630395,3.1130783126095376
Italy,ITA,285,15,5.272816887765073,519.1507165630395,3.1130783126095376
Italy,ITA,269,16,5.065530908045088,519.1507165630395,3.1130783126095376
Italy,ITA,474,17,4.8666062441005185,519.1507165630395,3.1130783126095376
